"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","802","1 Import Notes for Case","","Thu May 22 21:17:19 UTC 2025","failed","Thu May 22 21:17:20 UTC 2025","","Import Notes","",""
"","0","4 Validation messages for wrongly formatted values","","Thu May 22 21:16:40 UTC 2025","skipped","Thu May 22 21:16:40 UTC 2025","","Import Legacy Chain of Custody","",""
"","75600","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases","Auto-Disposition","Thu May 22 21:16:32 UTC 2025","failed","Thu May 22 21:17:48 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","785","I.T_1.1 Import Legacy Tasks for Case","","Thu May 22 21:16:49 UTC 2025","failed","Thu May 22 21:16:50 UTC 2025","","Import Tasks","",""
"","738","1. Import and verify People with all fields - 1 person linked to 1 case, other person linked to 2 cases","","Thu May 22 21:17:35 UTC 2025","failed","Thu May 22 21:17:36 UTC 2025","","Import People","",""
"","37363","7. Remove all optional values & check history records","","Thu May 22 21:22:23 UTC 2025","passed","Thu May 22 21:23:00 UTC 2025","","Edit Case","",""
"","533","1. Verify list of already existing services are in place and all listed services have a green status","","Thu May 22 21:17:23 UTC 2025","failed","Thu May 22 21:17:23 UTC 2025","","System Services Page: verify the existing Services are in place, if a new Service gets added =>check the status for all of those","",""
"","61688","A.N_1. Add Note to Case","","Thu May 22 21:41:12 UTC 2025","failed","Thu May 22 21:42:14 UTC 2025","","Add Notes","",""
"","0","1.7 Power User can add case and view/enter/update Review Date/Notes when having AutoDispo permissions","Add Case","Thu May 22 21:16:06 UTC 2025","skipped","Thu May 22 21:16:06 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","0","I.C_3 Case with custom fields","","Thu May 22 21:16:14 UTC 2025","skipped","Thu May 22 21:16:14 UTC 2025","","Import Cases","",""
"","133","1.2 Validation messages","","Thu May 22 21:17:06 UTC 2025","failed","Thu May 22 21:17:06 UTC 2025","","Login page","",""
"","58629","2. Edit and verify all values on Case View page -- keep the previous values and add new ones in multiselect fields (Case Officers, Tags)","","Thu May 22 21:19:27 UTC 2025","passed","Thu May 22 21:20:26 UTC 2025","","Edit Case","",""
"","1","1.6. Create and run DR for single parent location - multiple Discrepancies Found","Inventory Reports","Thu May 22 21:16:08 UTC 2025","skipped","Thu May 22 21:16:08 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","46505","1.8. Add Item from Person View/ Items Custodian tab -- redirect to Split Item page and complete the action","Add Item","Thu May 22 21:30:27 UTC 2025","passed","Thu May 22 21:31:13 UTC 2025","","1. Org Admin","",""
"","0","1.5 Org Admin-- minimum case fields -- redirect to Media tab on Case View page","Add Case","Thu May 22 21:16:06 UTC 2025","skipped","Thu May 22 21:16:06 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","5600","1.1.3 validation message for missing permissions","Add User","Thu May 22 21:50:12 UTC 2025","failed","Thu May 22 21:50:17 UTC 2025","","1.1 Org Admin","",""
"","717","2 Import Media - Precheck Only","","Thu May 22 21:17:09 UTC 2025","failed","Thu May 22 21:17:10 UTC 2025","","Import Media","",""
"","153","2.1. Create and run DR for 2 storage locations that have: container with item, empty container, sub-location, empty sub-container and sub-container with item - No Discrepancies Found","Inventory Reports","Thu May 22 21:16:08 UTC 2025","failed","Thu May 22 21:16:09 UTC 2025","","2. Parent/child locations with items and containers","",""
"","67392","3.5 --- Splitting item with Currency Form attached","Add Item","Thu May 22 21:36:36 UTC 2025","passed","Thu May 22 21:37:43 UTC 2025","","3 Add Item with Custom Form","",""
"","5356","1.3. Add Item from Case View /Items tab -- redirect to Add Item page again","Add Item","Thu May 22 21:28:22 UTC 2025","failed","Thu May 22 21:28:28 UTC 2025","","1. Org Admin","",""
"","110277","3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add Item","Thu May 22 21:32:53 UTC 2025","failed","Thu May 22 21:34:43 UTC 2025","","3 Add Item with Custom Form","",""
"","46477","3. Remove all optional values & check history records","","Thu May 22 21:26:55 UTC 2025","passed","Thu May 22 21:27:42 UTC 2025","","Edit Item","",""
"","38530","5.1 verify Office Default Case Number Prefix","Add Case","Thu May 22 21:20:21 UTC 2025","failed","Thu May 22 21:20:59 UTC 2025","","5. --- with Default Case Number in Office ","",""
"","21439","A.M_2. Add Media to Item","","Thu May 22 21:39:57 UTC 2025","passed","Thu May 22 21:40:19 UTC 2025","","Add Media","",""
"","798","8 Validation messages for invalid values","","Thu May 22 21:17:23 UTC 2025","failed","Thu May 22 21:17:24 UTC 2025","","Import Notes","",""
"","30974","2. Edit and verify reduced number of values on Person View page - First & Last Name","","Thu May 22 21:29:52 UTC 2025","passed","Thu May 22 21:30:23 UTC 2025","","Edit Person","",""
"","167","2.2. Scanning some barcodes multiple times and checking all types of discrepancies in one Report: ""Barcode valid but not found in the system""""Items Not Scanned"", ""Wrong Storage Location"",""Container Not Scanned"",""Containers in Wrong Location""","Inventory Reports","Thu May 22 21:16:09 UTC 2025","failed","Thu May 22 21:16:09 UTC 2025","","2. Parent/child locations with items and containers","",""
"","3239","U.A_1. Send verification email","","Thu May 22 21:16:52 UTC 2025","failed","Thu May 22 21:16:55 UTC 2025","","User Actions","",""
"","28947","4.1 verify Org Default Case Number Prefix, clear a default value and save the other one","Add Case","Thu May 22 21:18:57 UTC 2025","passed","Thu May 22 21:19:26 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","46242","3.3 --- with required Currency Form attached - System Template","Add Item","Thu May 22 21:34:43 UTC 2025","passed","Thu May 22 21:35:29 UTC 2025","","3 Add Item with Custom Form","",""
"","30146","6.1 verify Auto Assigned Case Number with Default Case Number Prefix","Add Case","Thu May 22 21:21:05 UTC 2025","passed","Thu May 22 21:21:35 UTC 2025","","6. --- with Auto Assigned Case Number ","",""
"","20212","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again","Add Person","Thu May 22 21:43:04 UTC 2025","passed","Thu May 22 21:43:24 UTC 2025","","1. Org Admin","",""
"","2","I.N_5 Five thousand tasks and verify count on search","","Thu May 22 21:16:51 UTC 2025","skipped","Thu May 22 21:16:51 UTC 2025","","Import Tasks","",""
"","65134","1.1.1. add user with all fields -- log in with newly created account","Add User","Thu May 22 21:48:31 UTC 2025","passed","Thu May 22 21:49:36 UTC 2025","","1.1 Org Admin","",""
"","5840","1.4. Add item from Item Search -- redirect to Case View /Items tab","Add Item","Thu May 22 21:28:28 UTC 2025","failed","Thu May 22 21:28:34 UTC 2025","","1. Org Admin","",""
"","0","I.C_2 Case with minimum number of fields","","Thu May 22 21:16:14 UTC 2025","skipped","Thu May 22 21:16:14 UTC 2025","","Import Cases","",""
"","0","6 Validation messages for blank values","","Thu May 22 21:16:40 UTC 2025","skipped","Thu May 22 21:16:40 UTC 2025","","Import Legacy Chain of Custody","",""
"","820","3 Import Locations - Precheck Only","","Thu May 22 21:16:59 UTC 2025","failed","Thu May 22 21:17:00 UTC 2025","","Import Locations","",""
"","22188","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases","","Thu May 22 21:22:00 UTC 2025","passed","Thu May 22 21:22:22 UTC 2025","","Edit Case","",""
"","0","1.5. Create and run DR for multiple parent and child locations  - starting with Child loc - switching back to parent location-  No Discrepancies Found","Inventory Reports","Thu May 22 21:16:08 UTC 2025","skipped","Thu May 22 21:16:08 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","72801","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Thu May 22 21:24:21 UTC 2025","passed","Thu May 22 21:25:34 UTC 2025","","Edit Item","",""
"","87993","3.1 --- with required Custom Form filled out, all required fields on Form","Add Item","Thu May 22 21:31:25 UTC 2025","failed","Thu May 22 21:32:53 UTC 2025","","3 Add Item with Custom Form","",""
"","531","2.2 Confirmation on warning modal completes login and logs out user on other machine","Login page","Thu May 22 21:17:06 UTC 2025","failed","Thu May 22 21:17:07 UTC 2025","","2. Warning that user is logged in on other browser or device","",""
"","44026","8.1 verify that required custom form is attached to the case with blank fields","Add Case","Thu May 22 21:23:30 UTC 2025","passed","Thu May 22 21:24:14 UTC 2025","","8. --- with required Custom Form but not filled out, all optional fields on Form","",""
"","19155","8. Add a Case with disabled fields & check if required fields are displayed properly on Case Edit page after enabling","","Thu May 22 21:23:01 UTC 2025","passed","Thu May 22 21:23:20 UTC 2025","","Edit Case","",""
"","15127","A.M_4. Add Media to Task","","Thu May 22 21:40:36 UTC 2025","passed","Thu May 22 21:40:51 UTC 2025","","Add Media","",""
"","0","4. Import update for item status (Disposal transaction)","","Thu May 22 21:16:23 UTC 2025","skipped","Thu May 22 21:16:23 UTC 2025","","Import Item Updates","",""
"","1","2. Item with all fields - Disposed Status","","Thu May 22 21:16:31 UTC 2025","broken","Thu May 22 21:16:31 UTC 2025","","Import Items","",""
"","0","I.C.U_2 Case Updates Import - Precheck Only","","Thu May 22 21:16:05 UTC 2025","skipped","Thu May 22 21:16:05 UTC 2025","","Import Case Updates","",""
"","325976","Add Dispo Task with 11 1DA items and assign to Org Admin, --set different actions for item using all variations--using Actions menu and grid, --check statuses and notes upon submission","","Thu May 22 21:51:57 UTC 2025","failed","Thu May 22 21:57:23 UTC 2025","","Dispo Auth","",""
